UCI FJX v7.3d = 7.3c + new integ of O3&Q1D over wavelength (2/2016)
NEW FMT: Jshort(a6)|Jlong(a16)|Notes, including q's. T or p at begin of block
   18 NWWW   27 NSSS 18 J-bins, reads J's (1-3 Xsect blks interp T or 'p'(until 'endofJ')
w-eff |wavelength (nm) | SPhot wtd, FJ#18 cuts at 778nm
          187.      191.      193.      196.      202.      208.
          211.      214.      261.      267.      277.      295.
          303.      310.      316.      333.      383.      599.
SPhot |solar #/cm2/s   | SUSIM average 11Nov94(low) + 29Mar92(med-high)
 298b 7.768E-01 8.168E-01 9.000E-01 9.000E-01 8.985E-01 9.000E-01 O3(1D)
 298c 8.966E-01 5.647E-01 2.300E-01 9.686E-02 0.000E+00 0.000E+00 O3(1D)
NO    |NO=N+O          |delta(1,0)&(0,0) scaled by 0.6 (WACCM in PhotoComp2008)
x298a 6.054E-19 6.936E-19 3.475E-19 0.000E+00 0.000E+00 0.000E+00 NO
 298b 0.000E+00 8.892E-21 0.000E+00 0.000E+00 0.000E+00 0.000E+00 NO
 298c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 NO
H2SO4 | 
x298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 
 298b 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 298c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.542E-25
H2COa |H2CO=>H+HCO     | JPL10
e223a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 H2COa
 223b 0.000E+00 0.000E+00 3.143E-21 1.021E-20 1.269E-20 2.323E-20 H2COa
 223c 2.498E-20 1.133E-20 2.183E-20 4.746E-21 0.000E+00 0.000E+00 H2COa
H2COa |
e298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 H2COa
 298b 0.000E+00 0.000E+00 3.147E-21 1.018E-20 1.266E-20 2.315E-20 H2COa
 298c 2.497E-20 1.131E-20 2.189E-20 4.751E-21 0.000E+00 0.000E+00 H2COa
H2COb |H2CO=>H2+CO     | JPL10
e223a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 H2COb
 223b 0.000E+00 0.000E+00 3.642E-21 5.787E-21 5.316E-21 8.181E-21 H2COb
 223c 7.917E-21 4.011E-21 1.081E-20 1.082E-20 2.088E-22 0.000E+00 H2COb
H2COb |
e298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 H2COb
 298b 0.000E+00 0.000E+00 3.649E-21 5.768E-21 5.305E-21 8.154E-21 H2COb
 298c 7.914E-21 4.002E-21 1.085E-20 1.085E-20 2.081E-22 0.000E+00 H2COb
H2O2  |H2O2=>OH+OH     | JPL10
e200a 2.325E-19 4.629E-19 5.394E-19 5.429E-19 4.447E-19 3.755E-19 H2O2
 200b 3.457E-19 3.197E-19 5.346E-20 4.855E-20 3.423E-20 8.407E-21 H2O2
 200c 5.029E-21 3.308E-21 2.221E-21 8.598E-22 1.807E-23 0.000E+00 H2O2
H2O2  |
e300a 2.325E-19 4.629E-19 5.394E-19 5.429E-19 4.447E-19 3.755E-19 H2O2
 300b 3.457E-19 3.197E-19 5.465E-20 4.966E-20 3.524E-20 9.354E-21 H2O2
 300c 5.763E-21 3.911E-21 2.718E-21 1.138E-21 2.419E-23 0.000E+00 H2O2
CH3OOH|CH3OOH=>CH3O+OH |
e298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 3.120E-19 CH3OOH
 298b 2.882E-19 2.250E-19 2.716E-20 2.740E-20 2.143E-20 5.624E-21 CH3OOH
 298c 3.520E-21 2.403E-21 1.697E-21 7.230E-22 6.973E-23 0.000E+00 CH3OOH
NO2   |NO2=>NO+O       | JPL10 (1/2016) log-extrap 200-300K (rev.integ. over wavel,
e200a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 NO2   not from
 200b 0.000E+00 0.000E+00 1.834E-20 4.696E-20 7.707E-20 1.078E-19 NO2   77-bin data
 200c 1.470E-19 1.832E-19 2.181E-19 3.138E-19 4.321E-19 1.636E-22 NO2
NO2   |
e300a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 NO2
 300b 0.000E+00 0.000E+00 2.354E-20 4.697E-20 7.546E-20 1.063E-19 NO2
 300c 1.477E-19 1.872E-19 2.303E-19 3.469E-19 4.657E-19 5.261E-22 NO2
NO3   |NO3=NO2+O/NO+O2 | JPL10, calculated q(NO2+O)=0.882, q(NO+O2)=0.112
e190a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 NO3
 190b 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 NO3
 190c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 5.294E-21 1.313E-18 NO3
NO3   |
e298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 NO3
 298b 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 NO3
 298c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 3.796E-21 1.029E-18 NO3
N2O5  |N2O5=>NO2+NO3   | JPL10
e233a 0.000E+00 0.000E+00 8.922E-19 1.183E-18 5.868E-18 4.682E-18 N2O5
 233b 3.395E-18 2.613E-18 2.138E-19 2.155E-19 1.988E-19 3.772E-20 N2O5
 233c 2.182E-20 1.334E-20 8.419E-21 2.621E-21 1.313E-22 1.368E-25 N2O5
N2O5  |
e300a 0.000E+00 0.000E+00 1.078E-18 1.429E-18 7.088E-18 5.655E-18 N2O5
 300b 4.101E-18 3.156E-18 2.606E-19 2.645E-19 2.454E-19 5.154E-20 N2O5
 300c 3.210E-20 2.135E-20 1.468E-20 5.902E-21 6.002E-22 1.523E-24 N2O5
HNO2  |HONO=>OH+NO     | JPL10
e300a 9.693E-19 1.387E-18 1.574E-18 1.808E-18 2.154E-18 2.188E-18 HNO2
 300b 2.079E-18 1.911E-18 1.171E-19 1.849E-19 1.489E-19 5.487E-21 HNO2
 300c 9.353E-21 1.895E-20 3.195E-20 9.008E-20 6.900E-20 0.000E+00 HNO2
HNO3  |HONO2=>OH+NO2   | JPL10
e200a 4.169E-18 8.113E-18 8.882E-18 8.211E-18 3.777E-18 1.288E-18 HNO3
 200b 6.882E-19 4.998E-19 1.611E-20 1.794E-20 1.848E-20 3.383E-21 HNO3
 200c 1.374E-21 5.442E-22 2.087E-22 2.118E-23 8.193E-26 0.000E+00 HNO3
HNO3  |
e300a 4.284E-18 8.419E-18 9.368E-18 9.112E-18 4.462E-18 1.551E-18 HNO3
 300b 8.426E-19 5.852E-19 1.855E-20 2.162E-20 2.299E-20 4.371E-21 HNO3
 300c 1.920E-21 8.312E-22 3.573E-22 4.706E-23 2.539E-25 0.000E+00 HNO3
HNO4  |HO2NO2=>HO2+NO2 | JPL10 & scaled 1-micron J added to last bin
e300a 4.631E-18 7.576E-18 8.407E-18 7.479E-18 4.744E-18 2.854E-18 HNO4
 300b 2.217E-18 1.843E-18 2.799E-19 2.210E-19 1.539E-19 2.685E-20 HNO4
 300c 1.171E-20 5.683E-21 3.102E-21 8.269E-22 1.309E-23 5.542E-23 HNO4
ClNO3a|ClNO3=Cl+NO3    | JPL10
 200a 3.222E-19 7.351E-19 9.688E-19 1.664E-18 1.614E-18 1.774E-18 ClNO3a
 200b 1.921E-18 2.009E-18 1.948E-19 2.801E-19 2.046E-19 2.043E-20 ClNO3a
 200c 1.088E-20 6.655E-21 4.564E-21 2.324E-21 9.207E-22 8.211E-24 ClNO3a
ClNO3a|
 300a 3.527E-19 8.041E-19 1.055E-18 1.815E-18 1.705E-18 1.805E-18 ClNO3a
 300b 1.928E-18 2.001E-18 2.319E-19 3.033E-19 2.140E-19 2.787E-20 ClNO3a
 300c 1.564E-20 1.002E-20 7.086E-21 3.404E-21 1.177E-21 1.164E-23 ClNO3a
ClNO3b|ClNO3=ClO+NO2   | JPL10
 200a 2.147E-19 4.899E-19 6.457E-19 1.109E-18 1.076E-18 1.183E-18 ClNO3b
 200b 1.281E-18 1.339E-18 1.299E-19 1.867E-19 1.364E-19 1.362E-20 ClNO3b
 200c 7.256E-21 4.187E-21 2.372E-21 7.063E-22 2.641E-23 0.000E+00 ClNO3b
ClNO3b|
 300a 2.351E-19 5.361E-19 7.034E-19 1.210E-18 1.136E-18 1.203E-18 ClNO3b
 300b 1.285E-18 1.334E-18 1.546E-19 2.022E-19 1.427E-19 1.858E-20 ClNO3b
 300c 1.043E-20 6.303E-21 3.680E-21 1.052E-21 3.330E-23 0.000E+00 ClNO3b
ClNO2 | 
 210a 3.211E-18 3.211E-18 3.206E-18 3.211E-18 3.072E-18 3.197E-18 
 210b 3.415E-18 3.573E-18 5.430E-19 5.906E-19 4.631E-19 1.627E-19 
 210c 1.401E-19 1.160E-19 9.194E-20 4.179E-20 3.192E-21 6.578E-24 
ClNO2 | 
 296a 4.020E-18 4.020E-18 4.005E-18 4.020E-18 3.516E-18 3.187E-18 
 296b 3.310E-18 3.444E-18 5.997E-19 6.037E-19 4.517E-19 1.592E-19 
 296c 1.394E-19 1.197E-19 9.932E-20 5.206E-20 5.773E-21 2.173E-23 
Br2   | 
 298a 5.620E-21 5.620E-21 5.645E-21 5.620E-21 6.527E-21 8.167E-21 
 298b 8.953E-21 9.579E-21 3.185E-21 2.293E-21 1.207E-21 2.027E-22
 298c 1.134E-22 1.497E-22 3.956E-22 6.865E-21 3.594E-19 1.157E-19
BrNO2 | 
 298a 3.006E-17 3.905E-17 4.383E-17 5.035E-17 4.817E-17 3.238E-17 
 298b 2.220E-17 1.446E-17 2.260E-18 1.318E-18 1.072E-18 3.169E-19
 298c 1.701E-19 1.149E-19 1.063E-19 1.369E-19 1.577E-19 1.374E-20
Cl2   |Cl2=>Cl+Cl      | JPL10
 200a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 Cl2
 200b 0.000E+00 0.000E+00 5.482E-21 2.419E-20 4.980E-20 8.413E-20 Cl2
 200c 1.393E-19 1.878E-19 2.265E-19 2.524E-19 6.328E-20 8.221E-22 Cl2
Cl2
 300a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 Cl2
 300b 0.000E+00 0.000E+00 6.002E-21 2.708E-20 5.409E-20 8.855E-20 Cl2
 300c 1.404E-19 1.844E-19 2.185E-19 2.411E-19 6.552E-20 8.055E-22 Cl2
HOCl  |HOCl=>OH+Cl     | JPL10
 300a 0.000E+00 3.695E-21 1.571E-20 2.435E-20 5.887E-20 5.424E-20 HOCl
 300b 5.798E-20 6.694E-20 1.019E-19 6.541E-20 5.430E-20 5.570E-20 HOCl
 300c 6.067E-20 5.955E-20 5.376E-20 3.120E-20 6.529E-21 1.503E-23 HOCl
OClO  |OClO=>O+ClO     | JPL10
 204a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 HOCl
 204b 0.000E+00 0.000E+00 4.061E-19 5.616E-19 8.776E-19 1.211E-18 HOCl
 204c 1.857E-18 2.606E-18 2.522E-18 4.227E-18 3.254E-18 4.794E-20 HOCl
ClOO  | 
 298a 6.110E-18 6.110E-18 6.110E-18 6.110E-18 6.110E-18 6.110E-18 
 298b 6.110E-18 6.110E-18 1.306E-17 3.649E-18 2.365E-18 2.000E-18
 298c 2.000E-18 2.000E-18 2.000E-18 2.000E-18 2.000E-18 2.000E-18
Cl2O2 |ClOOCl=>ClO+ClO | JPL10
 220a 0.000E+00 2.177E-19 9.321E-19 1.435E-18 3.578E-18 3.009E-18 Cl2O2
 220b 2.648E-18 2.357E-18 4.063E-18 1.971E-18 1.236E-18 8.681E-19 Cl2O2
 220c 5.719E-19 4.163E-19 3.234E-19 1.921E-19 3.857E-20 7.238E-22 Cl2O2
ClO   |ClO=>Cl+O       | JPL10
 300a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 ClO
 300b 0.000E+00 0.000E+00 4.737E-18 3.262E-18 1.858E-18 1.428E-18 ClO
 300c 5.982E-19 3.548E-19 1.427E-19 0.000E+00 0.000E+00 0.000E+00 ClO
BrO   |BrO=>Br+O       | JPL10
 300a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 BrO
 300b 0.000E+00 0.000E+00 0.000E+00 5.620E-19 1.202E-18 2.008E-18 BrO
 300c 3.239E-18 4.520E-18 5.064E-18 5.809E-18 7.350E-19 0.000E+00 BrO
BrNO3 |BrONO2=>BrO+NO2 | JPL10
 200a 0.000E+00 0.000E+00 5.484E-19 7.245E-19 3.702E-18 3.475E-18 BrNO3
 200b 3.182E-18 2.978E-18 5.304E-19 6.086E-19 4.489E-19 1.963E-19 BrNO3
 200c 1.584E-19 1.307E-19 1.110E-19 8.033E-20 3.377E-20 1.499E-21 BrNO3
BrNO3
 300a 0.000E+00 0.000E+00 8.026E-19 1.071E-18 5.166E-18 4.190E-18 BrNO3
 300b 3.467E-18 3.039E-18 5.567E-19 5.989E-19 4.528E-19 2.098E-19 BrNO3
 300c 1.705E-19 1.425E-19 1.207E-19 8.648E-20 3.716E-20 1.706E-21 BrNO3
HOBr  |HOBr=>OH+Br     | JPL10
 300a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 HOBr
 300b 0.000E+00 0.000E+00 1.324E-19 2.011E-19 2.202E-19 2.196E-19 HOBr
 300c 1.726E-19 1.367E-19 1.157E-19 1.125E-19 6.197E-20 3.253E-21 HOBr
BrCl  |BrCl=>Br+Cl     | JPL10
x200a 0.000E+00 0.000E+00 3.138E-21 3.852E-21 2.798E-20 4.258E-20 BrCl
 200b 4.915E-20 5.482E-20 2.293E-20 1.531E-20 7.620E-21 1.983E-21 BrCl
 200c 4.115E-21 9.571E-21 2.126E-20 1.102E-19 3.272E-19 2.338E-20 BrCl
BrCl
x300a 0.000E+00 0.000E+00 3.356E-21 4.152E-21 2.906E-20 4.234E-20 BrCl
 300b 4.785E-20 5.244E-20 2.430E-20 1.596E-20 8.718E-21 3.854E-21 BrCl
 300c 7.582E-21 1.550E-20 3.038E-20 1.223E-19 3.184E-19 2.414E-20 BrCl
N2O   |N2O=>N2+O       | JPL10
x200a 1.076E-19 8.490E-20 6.974E-20 5.200E-20 2.171E-20 6.405E-21 N2O
 200b 3.097E-21 2.473E-21 3.308E-25 1.048E-23 4.114E-23 0.000E+00 N2O
 200c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 N2O
N2O
x300a 1.225E-19 1.006E-19 8.493E-20 6.658E-20 3.135E-20 1.150E-20 N2O
 300b 6.282E-21 4.614E-21 1.501E-24 4.070E-23 1.173E-22 0.000E+00 N2O
 300c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 N2O
CFCl3 |CFCl3=>CFCl2+Cl | CFC-11    JPL10
x220a 2.177E-18 1.608E-18 1.302E-18 9.616E-19 4.538E-19 1.638E-19 CFCl3
 220b 9.562E-20 7.113E-20 4.112E-23 7.026E-22 1.892E-21 0.000E+00 CFCl3
 220c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 CFCl3
CFCl3
x298a 2.237E-18 1.652E-18 1.339E-18 9.882E-19 4.884E-19 2.026E-19 CFCl3
 298b 1.266E-19 9.361E-20 9.732E-23 1.289E-21 2.955E-21 0.000E+00 CFCl3
 298c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 CFCl3
CF2Cl2|CF2Cl2=>CF2Cl+  | CFC-12   JPL10
x220a 7.001E-19 4.044E-19 2.780E-19 1.507E-19 4.142E-20 6.627E-21 CF2Cl2
 220b 2.876E-21 5.395E-21 2.698E-25 8.767E-24 3.338E-23 0.000E+00 CF2Cl2
 220c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 CF2Cl2
CF2Cl2
x300a 1.012E-18 5.844E-19 4.020E-19 2.178E-19 6.291E-20 1.258E-20 CF2Cl2
 300b 5.959E-21 8.779E-21 8.279E-25 2.466E-23 8.261E-23 0.000E+00 CF2Cl2
 300c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 CF2Cl2
F113  |CF3CCl3=>       | CF3CCl3 = CFC-113    JPL10
x210a 1.061E-18 6.852E-19 4.983E-19 2.810E-19 8.627E-20 2.020E-20 F113
 210b 1.043E-20 1.272E-20 4.158E-24 6.808E-23 1.800E-22 0.000E+00 F113
 210c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 F113
F113
x300a 9.495E-19 5.932E-19 4.317E-19 2.618E-19 9.300E-20 2.661E-20 F113
 300b 1.453E-20 1.395E-20 6.689E-24 1.046E-22 2.685E-22 0.000E+00 F113
 300c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 F113
F114  |CF3CFCl2=>      | CF3CFCl2 = CFC-114   JPL10
x210a 1.291E-19 5.656E-20 3.403E-20 1.585E-20 4.491E-21 9.317E-22 F114
 210b 4.480E-22 6.972E-22 9.733E-26 2.472E-24 6.812E-24 0.000E+00 F114
 210c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 F114
F114
x300a 1.203E-19 5.566E-20 3.520E-20 1.825E-20 6.078E-21 1.642E-21 F114
 300b 8.743E-22 9.578E-22 2.385E-25 6.055E-24 1.608E-23 0.000E+00 F114
 300c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 F114
F115  |CF3CF2Cl=>      | CF3CF2Cl = CFC-115   JPL10
x300a 6.876E-21 2.986E-21 1.891E-21 1.018E-21 3.531E-22 1.124E-22 F115
 300b 6.079E-23 6.176E-23 5.728E-27 6.317E-25 1.345E-24 0.000E+00 F115
 300c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 F115
CCl4  |CCl4=>          | CCl4 = Carbon-tetrachloride   JPL10
x200a 3.610E-18 1.670E-18 1.100E-18 7.155E-19 6.122E-19 4.744E-19 CCl4
 200b 3.774E-19 2.864E-19 6.486E-22 7.133E-21 1.323E-20 0.000E+00 CCl4
 200c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 CCl4
CCl4
x300a 3.707E-18 1.712E-18 1.124E-18 7.237E-19 6.267E-19 5.208E-19 CCl4
 300b 4.392E-19 3.544E-19 1.614E-21 1.234E-20 1.854E-20 0.000E+00 CCl4
 300c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 CCl4
CH3Cl |CH3Cl=>CH3+Cl   | CH3Cl = Methyl chloride   JPL10
x200a 2.838E-19 1.310E-19 8.192E-20 3.940E-20 1.098E-20 2.102E-21 CH3Cl
 200b 9.710E-22 1.654E-21 1.353E-25 4.702E-24 1.424E-23 0.000E+00 CH3Cl
 200c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 CH3Cl
CH3Cl
x300a 2.842E-19 1.308E-19 8.238E-20 4.125E-20 1.284E-20 3.135E-21 CH3Cl
 300b 1.619E-21 2.046E-21 2.691E-25 9.348E-24 2.828E-23 0.000E+00 CH3Cl
 300c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 CH3Cl
MeCCl3|CH3CCl3=>CH3CCl2| CH3CCl3 = Methyl chloroform   JPL10
x200a 2.720E-18 2.025E-18 1.688E-18 1.354E-18 7.434E-19 3.348E-19 MeCCl3
 200b 2.026E-19 1.374E-19 5.478E-23 1.440E-21 4.133E-21 0.000E+00 MeCCl3
 200c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 MeCCl3
MeCCl3
x300a 2.722E-18 2.020E-18 1.680E-18 1.338E-18 7.420E-19 3.515E-19 MeCCl3
 300b 2.232E-19 1.574E-19 2.197E-22 2.618E-21 5.521E-21 0.000E+00 MeCCl3
 300c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 MeCCl3
CH2Cl2|CH2Cl2=>CH2Cl+Cl| CH2Cl2 = di-chloromethane   JPL10
x200a 1.091E-18 6.168E-19 4.117E-19 2.063E-19 5.999E-20 1.421E-20 CH2Cl2
 200b 7.370E-21 9.789E-21 4.003E-24 5.376E-23 1.269E-22 0.000E+00 CH2Cl2
 200c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 CH2Cl2
CH2Cl2
x300a 9.995E-19 5.790E-19 3.970E-19 2.144E-19 7.138E-20 2.124E-20 CH2Cl2
 300b 1.203E-20 1.237E-20 7.640E-24 1.026E-22 2.385E-22 0.000E+00 CH2Cl2
 300c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 CH2Cl2
CHF2Cl|CHF2Cl=>CHF2+Cl | CHF2Cl = HCFC-22    JPL10
x200a 7.852E-21 2.816E-21 1.551E-21 6.716E-22 1.891E-22 4.359E-23 CHF2Cl
 200b 2.467E-23 3.483E-23 0.000E+00 2.454E-27 4.684E-25 0.000E+00 CHF2Cl
 200c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 CHF2Cl
CHF2Cl
x300a 7.528E-21 2.775E-21 1.578E-21 7.386E-22 2.375E-22 6.207E-23 CHF2Cl
 300b 3.512E-23 4.089E-23 0.000E+00 3.494E-27 6.670E-25 0.000E+00 CHF2Cl
 300c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 CHF2Cl
F123  |CF3CCHCl2=>     | CF3CCHCl2 = HCFC-123  JPL10
x210a 9.371E-19 5.088E-19 3.401E-19 1.837E-19 6.049E-20 1.614E-20 F123
 210b 8.774E-21 9.599E-21 4.437E-24 6.935E-23 1.699E-22 0.000E+00 F123
 210c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 F123
F123
x295a 1.037E-18 6.011E-19 4.213E-19 2.461E-19 8.860E-20 2.646E-20 F123
 295b 1.495E-20 1.438E-20 1.191E-23 1.409E-22 3.152E-22 0.000E+00 F123
 295c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 F123
F141b |CH3CFCl2=>      | CH3CFCl2 = HCFC-141b    JPL10
x200a 1.165E-18 7.326E-19 5.257E-19 3.034E-19 9.839E-20 2.384E-20 F141b
 200b 1.224E-20 1.398E-20 2.005E-24 6.588E-23 2.015E-22 0.000E+00 F141b
 200c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 F141b
F141b
x300a 1.126E-18 7.466E-19 5.559E-19 3.448E-19 1.221E-19 3.303E-20 F141b
 300b 1.757E-20 1.737E-20 5.164E-24 1.146E-22 3.133E-22 0.000E+00 F141b
